Title	Description	Category
Ghostwriter- Write 1000 word article on new medical research findings	"Hello, we need an article written and completed in the next 4 hours. Please review instructions below and if interested submit a link with your past similar completed project.

Assignment Information:

 A new study was released which examined the connection between chronic pain and anxiety disorders.  Surgeons have known for decades that a patient’s emotional health is a critical factor determining outcomes and pain relief.

Can you write a 1000 -1,200 word story as follows;

1.       Headline:  New study finds (pick #1, strongest conclusion from the study)
2.       Give the simple facts of the study and where it was published.  Remember the classic article questions:  who?, what?, where?, why? How?
3.       Do more research using Google on the link between chronic pain and anxiety disorders and mention the conclusions other researchers have found.
5.       Close with the detailed conclusions from the study itself.  So, at the beginning, you essentially provide an abstract of the study.  Give some background, quote an expert and then wrap it all up with the detailed study conclusions

Links to research study link and article:

[login to view URL]


****This assignment needs to be completed ASAP today, in 4 hours after project is awarded****


"	5
Help me write something	I need you to write some content for a website. A 3 page paper about business management and how you will make the company profitable in another country... Strategic marketing plan paper	4
Help me write something -- 4	I need you to write some content for a website.I need article on information security in organization logistics 	5
Write affiliate article 1	Write seo ready, affiliate content article.	1
new work for sraheel	contact me for the details	3
find 8 academic  references for a case study, do not write anything	find 8 academic  references for a case study, do not write anything	5
Rewrite an eBook 	Hi, I am looking for a writer to rewrite a business e-book on Productivity.	2
Edit Something 	please read the introduction carefully , all the important information I have marked in the doc. and contact me if u have any question.	5
Help me write something	I need you to write an academic [url removed, login to view] someone to complete a business assignment that requires you to complete 4 parts (1. define the project 500 words, 2. develop the project plan 2000 words 3. meetings with the project team approx 300 words 4. monitoring the project approx 500 words). This assignment gives you all the information you need to complete it. This assignment is not hard however you will need experience in business if you wish to complete it. Ill send you the assignment [The administrator removed this message due to encouraging communication outside [url removed, login to view], which breaches our Terms and Conditions - Section 13:Communication With Other Users.]	5
I need you to write a report for something.	I need you to write a report for something.	4
Development of an Authentic Assessment	"I need some one to development of an Authentic Assessment. befor you do it, 
you should know what  it is means authentic assessment.

In this assessment you will include the following: 

1.A description of the product/performance assessed.

2.A description of the subject area and grade level for which the product/performance assessment is designed. (Elementary Level) the subject is mathematics

[url removed, login to view] explanation of why an authentic assessment is appropriate for measuring learning relate to your objective(s) along with description of the purpose of the assessment.

4.A description of the person who will supply the ratings of the assessment and the setting in which the person will rate the assessment.

5. A set of instructions to the students for carrying out the assessment task and communication to students as to how their products/performances will be evaluated.

[url removed, login to view] assessment instrument based upon the set of performance/product criteria you have identified (checklist, rating scale, rubric, etc.)

"	5
Assign 2 report	Summary of Chapters 4 and 5 (textbook), EBN, and websites visited (1000 words). Explain how LEED v3 and LEED v4 differ in their structure and credits.  Pay special attention to the materials categories.	5
Academic Writing.	write about (What is your opinion of women serving in the military?) in MLA Style with 1200-1500 words within 48 hours 	5
Criminology Critical Literature Review - 1,500 words	I'd like my critical literature research portfolio to be about hate crime in the UK. Within the research proposal I'd like the way police and media respond to hate crime to be something that is focussed on in particular but I'd like there to be a lot of literature included but explored properly. I'd also like Criminology journal articles as well as newspapers, along with academic books and other platforms to be included in this review to support the research. In the document I have attached, it talks about an action plan and other work.. I only need to help with writing the 1,500 Literature review. The rest is already handled and I will worry about later. HARVARD REFERENCING IS A MUST. Should this piece of work go well, I would prefer the same person to write the extended write up for this literature review (which will be about 8,000-10,000 words) in the coming future (this is not a must and if thats not possible then its okay). Below I'll attach a short word document telling you the requirement for this literature review.	5
Hi Everyone please help me to complete my project report.	"I need you to write an academic [login to view URL] prepare a Project report which should include executive summary, table of content,introduction or backgroud, main body conclusions & references on L&T metro rail project which is still in progress in india.
i need turnitin plagiarism receipt for my work also."	5
academic writing	a broad  research	4
Write a Report 	"The research is about touch sensor based on nanomaterial. I want the research to be between 20 to 22 pages .  the research topic will be about:- 

Abstract
Introduction
Sensing strain with nanomaterials
Pressure, Force and touch sensing
Force sensor including: 
Capacitive Force Sensors
Piezoelectric Force Sensors
Pyroelectric Force Sensors 
Other types of forces sensor
Nanomaterial in Touch Screens
Exploiting Nanoparticles for Sensing Applications
Conclusion
add one or two more topic from your self 

I want it within 5 days , if you finish earlier it will be great. I want the resources to be scientific. Provide me please the link of the resource. In case the resource is from book, provide me the link of the book. If you find useful information from the articles provided use them. 
"	5
Help me write a report for the current problem of Dundee Wellgate centrum	I need you to write an academic article. 4th year business management student. I need a report of my findings are recommendations for potential solutions and implementation strategies for the current problem (2000 words). The current problem is a bad image of the shopping centre in Dundee called Wellgate. The shoppping centre has a bad image coz of their cheap shops inside and just next door is Job Centrun. There is no budget for the solutions and we can implement any strategy we believe could work or other shopping centres done. It doesn't even have to stay the shopping centre it could be completely something else as long as there is a good justification for it.	5
Write some Articles	I want a business report of around 5000 words 	5
Write a Business Plan	I require a Business plan to be done for a online application that I have created, previous experience is a MUST. I will need you to provide bullet points of what you require from me to assist in the writing of this plan. If you can also send through a sample of previous business plans that you have written it would be appreciated. You will also need to advise on how this can be monetised (i.e banner advertising etc). I will provide further details to the successful freelancer. It needs to be completed by the end of the weekend. Thanks	2
Help me write something	"I need you to write a report for something. Report about phishing for example email phisihing 

What is phishing, 

How it is done,

Why does the phisher do it and what do he gets from it 

How to protect your self from it."	5
Help me write something	I need you to write an academic article. Literature review on black feminist thought. I already have the topic introduction and outline completed	5
Content Writing 	I need 1 essays done by 12th of Dec	5
Paraphrase reservoir engineering report	A freelancer with good background in petroleum reservoir and production engineering is required to paraphrase a reservoir production eng. report. SPE materials to be included as well.	5
Interior and exterior design (home improvement) and concrete delivery	Hello to you my future freelancer, I have two websites [url removed, login to view] and [url removed, login to view] and looking for a person who would be able to write 4 articles (2 for each website) monthly at least 2500 characters long each. I will be providing editorial calendar.	1
Marketing report: Netflix's Mobile app evaluation 	Netflix's Mobile app evaluation: Analyzing an organizational mobile app. How does the website fit with organizational overall strategy and marketing mix? How is the online experience? What are the challenges, benefits and risks of using website? What would be your recommendations to the organization?	5
Write a Report 	Summary (2-3 pages) of the IoT market in 2016 (e.g. categories, major players, investors, numbers) and high-level projection into 2017	4
I need you to write an academic article. -- 2	"I need you to write an 8-page empirical research proposal on Assets Pricing using a multi factor APT model. 

You must be familiar with assets pricing, CAPM, APT, EMH and empirical research."	5
Academic Writing 	"Write a 1000-word essay on the issue given below, including relevant diagrams and references. Your answers should be word processed and presented in a professional way. 

Compare and contrast 2 early numerical models for ocean circulations given below. by answering given questions
"	5
Write a Report 	I want you to paraphrase the report ....	5
Research Writing 	Academic writing , Critique , 	5
Find and re-word articles for the News section of our website	"I need a dozen or more articles to populate the news section of our website. It is for a UK based retail electronics distributor so will focus on this sector and the retail sector.

The articles are meant to provide a bit of knowledge, but they are also for information purposes such as highlighting events the company took part in and other electronics distribution/online marketplace industry related news.

I am willing to spend $100 on the whole bunch, so taking the price into account I will award the project to person who can provide the most and high quality pieces of articles.

We can start this off by finding a bunch of other relevant articles, then re-word it to make it relevant to our website and so it doesn’t get caught up as plagiarised content. 

Experiences writers only please.

Please message me so I can show you other examples which you can use to assist you. 
"	1
part of a business plan	hello im looking for someone to do a short part of a business plan. 	2
Risk Decision Analysis 672 A3	Problem Solution. Freelancer must know probability and risk analysis.	5
Write a Business Plan 	"1. Use different techniques to identify perceived quality gaps for a selected service/product 
2. Explain  how a customer relationship management system is used in a selected organisation.
"	5
discussion  - open to bidding	n Chapter 3 of Make it Stick, the authors claim that spacing, interleaving, and variability greatly increase learning and the performance that comes from applying that learning.  Have you had a learning experience that benefited from spacing, interleaving, or variability?  How much of a difference did it make?	4
Leaders are born, not made! Do you agree or disagree?	"Topic: Leadership

Leaders are born, not made! Do you agree or disagree?

The format should be in an essay of 900-1000 Words.

With normal introduction, body and conclusion as the structure. 
You are to research current views on leadership and support your argument for or against the above with a minimum of 5 peer-reviewed articles.
You may use as examples well known leaders to justify your views.

The Marking will be allocated as mentioned in the file attached to this project.

The project is to be done by the end of 29/03/2017."	5
Get Articles Written	DUE IN 6 HOURS! I need you to write a 1200-1500 word research article on a topic about Ancient Greece.	5
technical writing 	how data analytics is used in football 	5
report writing about how data analytics is used in the retail industries  	"Literature review of 1 pages about 
-	How data analytics is used in retail industries 
Literature review of 2 pages about below data mining techniques   
-	Association rule, clustering, time series analysis, random forest 
"	5
Research Writing	"I am looking for a freelance research writer to write around 1300-1500 words explaining the differences between the research methodologies. I have a budget of £60-£80. The deadline is 8 PM today UK time.
The document should be referenced with around 6-7 scholarly works, e.g. from Google Scholar. The more recent the better, but some older ones are fine.
It should explain the differences between quantitative research, qualitative and mixed method. E.g. which one is structured/unstructured, objective/subjective, deductive/inductive, which one is suited better for what, advantages/disadvantages, etc. Also opinions about mixed method (e.g. incompatible or best of both worlds).
Include links to all your referenced works in the ""Works Cited"" section; I've uploaded a document with two paragraphs started - use that to carry on. (The ""Works Cited"" section is not included in the word count.)
The final document will be tested with Turnitin UK (lasting a few minutes only) and when it passes, payment is released immediately."	5
case study	I am looking for a freelancer to help me with my project. The skills required for an EDEXCEL  Level 7 -Strategic Human Resources Management module Case Study  and Research Writing of max 2000 words purely based on a provided module  I am happy to pay a fixed priced and my budget is $ 100 - $ 200 USD. I will provide a detailed description and will upload  files once I am happy with a freelancer	5
Write a Business Plan	I am looking for a freelancer to help me with my project. The skill required is Business Plans. I am happy to pay a fixed priced and my budget is $50 USD. I have not provided a detailed description and have not uploaded any files.	3
Write some Articles 	Need about 50 articles to be written on health.	2
Write a Report 12	"i want you to take a look at the file link I want it to get rewritten in simple English


[login to view URL]!234&H=emul&C=5_810_BN1-SKY-WAC-WSHI&ui=AR-SA&rs=en-US&wdo=2&wde=doc&wdp=3&su=3187696117662692401&ad=en-US&sc=host%3d&cy=canary&ak=t%3D0%26s%3D0%26v%3D%21AC7lMYPysl2sV0M%26aid%3D5b48ce17%2D23cf%2D43e4%2D9ef0%2Dd72dda6b192e%26m%3Dar%2D145&wdMobileHost=2"	4
Editing my work	I need some help editing some work I have done. I need for it to be expanded and for someone to look through it and add references etc. 	5
Academic essay project-Write an empirical Report 	"""Conduct a thematic analysis of an audio clip of an interview held in the Oral History of British Science archive of the British Library. Then, write an empirical report of three themes you have identified in your analysis of the interview"".
(Word limit: 1500 words (excluding title, abstract, references and appendices)


This is an academic project. please only bid if you are familiar with how to write empirical reports and thematic analysis. If you are familiar of academic essay writing, this project will suit you. I can provide all the information and and relevant material for this report. Looking for a freelancer that is also interested in long term academic writing projects. Must be affordable. Only affordable bids will be considered."	5
I would like to hire a Content Writer	I need you to write some content for a website. I need to do some content writing for a Blog/Website. Less that 400 words long. The texts should be a compelling description of what you can expect when enjoying a bike tour in Amsterdam. The content should be written in a playful and yet trusting way.	1
Health Promoting Podiatry	Health Promoting Podiatry,Nursing and Healthcare assistance 	3
$30 - $250 USD	"To write a review/summary/your understanding of the 3  different [login to view URL] of the given videos and writing the report based on the cognitive ability

Weblink of the videos:

1) [login to view URL]

2) [login to view URL]

3) [login to view URL]


Font size: 12 for text, and 14 for headings
Font type: Times New Roman/Calibri"	5
Read a textbook chapter and write a 250 word reflection (US ENG) 12- 24hr deadline	Read a textbook chapter and write a 250 word reflection (US ENG) 12- 24hr deadline.  More details via private message. 	5
Write my Product Descriptions 	im looking for a writer to write my app description for me. please make sure you are excellent in english and in product description. id like it ready in 1 hour. thank you	2
Write Me 10 Short Articles (150+ Words Each)-003	"I want to hire someone to write 10 short articles. I need at least 5 articles within next 12 hours.
•	Each article must be over 150 words
•	Must be specific to the US cities
•	Must be unique and include keywords
I’ll provide you with few examples of what kind of work I'm looking for. Please start your proposal with the code word “uscities” and let me know your price for 10 articles so that I know you’ve read the project descriptions.
"	2
Case Study	"Tourism Related
Case Study
- Crisis that affected the tourism industry in that country
- Measures taken by the NTO

"	5
Write articles -- 38895	"Hi,
I am looking for 500 words of contents written in next 1-2 hrs starting right now. The content must be written in perfect English. All work must be original and copyscape passed. Please quote your price in pmb. Ongoing work available upon completion."	2
Research Writing 	Need to write a briefing paper on a given topic. The topic is technical and specific to challenges faced by IT professionals.Minimum requirement is 1500 words	5
PPT material manufacturing! “ Grinding process “	I need you to write a Material and manufacturing subject topics “ Grinding process “ . #Mechanical Eengineering	5
small project one question	small eassy around 200 word , school level	5
small project one question 1	300 to 400 word , united state against north korea	5
I need an article about e-cigratte	I want to a writer to write an article about Vapeman STEAM ENGINE DNA75 Box Mod( It is an e-cigarette product. In addition, the write should know information concerning e-cigratte very well. this website offers some information about above [url removed, login to view]://[url removed, login to view]	1
Re-Phrasing of a technical engineering paper.	"I want an experienced writer to reduce the similarity report percentage of my upcoming paper which I have used some of my previous results with extended discussion and results too. 

The paper draft is attached in which needs further work and results to be added later. However, I need someone to work on the textual elements of it at the moment to finalise it later. 

The similarity report of the paper is attached and once the project awarded I will send you the word docx format of it. 

Experienced writers with knowledge in the field are highly preferred. 

Due date of the paper is 2 days from now. 

"	5
The UAE forieng policy	"In the introduction, I need a brief about how foriegn policy in general is formulated in the world, then the main argument will be: this paper will focus on how UAE economy in particular help formulaing the foriegn policy of UAE

Body1: explain in details about the UAE economy(internally) how it started shifting  from oil based economy to diverstificatin (clean energy/foriegn direct invesments/services/tourism/etc)

Body2: explain in details UAE economy (externally) for example how UAE is part of international economic organization as WTO , the economic ties with the Eastern countries/west in terms of economy.

Body 3: analyticcal discussion-
Discuss in analytical way how economy of UAE affect the forign policy formulation of UAE

Body4: conclusion- summary of the paper refering to the main argument

Reference
"	5
i need an essay writer	need someone to write my 1500 essay	5
Edit our company profile	Edit our company profile	1
Products description writer	I need a highly skilled products description writer 	1
Copywriting	Entry submission for red dot design. 6 products with copy points. 1200 characters max for each product	5
REGION article summaries	For the open access journal REGION ([login to view URL]) I need a writer who turns selected articles into English language summaries that demonstrate the value of the research behind the article to the general public. These press releases will be posted on AlphaGalileo (via the account of ERSA, the European Regional Science Association). The budget selected is per article. If you can also manage to get your summaries into media, this will be highly appreciated and awarded extra.	2
Help me write something	Scrittura di alcuni articoli	2
Write 5 blog posts on Instagram	"Each blog should be 700+ words must have relevant photos. 
Topic - Instagram Feed,  Instagram Theme, Instagram Stories  .....

Need 5x seo optimized blog post."	1
Writing articles on insurance in the US	"Need to write 10 articles on insurance in the US on the following topics (headlines):
1) quote a car insurance
2) car insurance categories
3) car insurance estimate online, online services overview
4) business liability insurance
5) vehicle insurance agency, Top 20
6) small business insurance
7) general liability insurance
8) business loans, where and how to get
9) car insurance price quote, a review of prices and companies
10) life insurance quotes"	1
Writer for fashion & Kids blog	Need writer for my kids fashion blog, female writer only. Native English speaksr only. M10 posts for $150	1
the Rhetorical Analysis	it is a work about Rhetorical Analysis. 	4
Help me edit my Cv and cover letter	Hi ,I need a Experienced person help me to edit my Cv and a new cover letter. Thanks	1
Creative Writing	"Hello,

I need a creative writer to write a short essay, approximately 300 words to describe specific neighborhoods. There will be 6 total short essays.

Please use your own words, no plagiarism, and make it interesting for the reader.

Thank you for checking this project.
DennyPlease provide 2-3 samples of your writing"	1
Apartment Website SEO Content and Blogs	Looking for a weekly blogs with SEO focus on Renting Apartments in Edmonton, Alberta Canada	1
essay	write an essay 4000 -5000words	5
Paraphrase the Attached Document. 	I would like the document attached to be paraphrased and summarized in order to reduce the number of pages. 	5
Script Writing 	Mobile Application Video Presentation.	3
Write New SEO friendly website content 	"IMPORTANT: (PLEASE READ BEFORE YOU BID)

Industry: Trucking & Logistics. 
Location: Ottawa, Ontario, Canada.
Business Name: Saikley Transport Inc. 
# of web pages: 12 Pages ( home - about - services - ship - carrier - contact ). 
Writers Experience: Must be able to write SEO American/Canadian English with American/Canadian sentence structure. 
Total number of words: +/- 4000 words

Note: 
I am looking for a content writer who can create new content and paraphrase existing content for my business website. I have attached a site map identifying the various sections with the approximate number of written words that are required.  The writer must be able to do some minor research to understand the subject at hand. I will provide you with competitor websites which you can use as a reference. Also, you will be given access to our new website to understand the sitemap.

Please ask me questions if you don't understand the instructions below. 

Also attached, you will find content written by another freelancer who did not produce quality content. I ended up rejecting his work.

SEO Key Words: it doesn't matter what order you use.

Trucking Company Ottawa 
Logistics Company Ottawa 
Shipping Company Ottawa 
Freight Company Ottawa
Hauling equipment in Ottawa 
Trusted Trucking in Ottawa 
less than a truckload in Ottawa 
truckloads in Ottawa 

READ ALL ATTACHED INSTRUCTIONS"	1
Proof Reader	I have a 900 word essay written in WORD.  I need an United States English Proofer. I would like to have to returned in 48 hours.	5
professional resume needed 	I need a professional Resume for job applications. I have a rough draft outline. 	1
